ClientId,EGT FreeSpin,FreeSpin SayYo,FreeSpin_0 Playtech,FreeSpin_0 Popok,FreeSpin_0 TopGame,FreeSpin,CasinoWageringCost,LoyaltyCost,HarmonyFreespin,CasinoCashback,CasinoCorrection,CasinoNGR,CasinoGGR
2007103,7.506561400000001,0.0,0.0,6.44912412,0.0,6.1108269,0.0,0.0,0.0,0.0,0.0,-2.3765095900000093,19.98202283
2007279,3.6822099999999995,0.0,0.0,4.02441756,0.0,0.34578,52.71760999999999,0.0,0.0,49.1236955576,318.031741961,353.58331856540093,785.5904257440011
2007950,7.3453644,0.0,0.0,12.2171855,0.44690943,6.3568861,0.0,0.0,0.0,3.565580069857,0.598351,64.20101491014299,97.00364141
2011454,6.98404,0.0,0.0,9.08781432,0.0,4.2999985,0.0,0.0,0.0,0.0,1363.766180826,-1305.8412765760002,80.60236707
2012880,0.6510832,0.0,0.0,4.6476765,0.0,0.555544,0.0,0.0,0.0,0.0,0.6227141650000001,35.815534825,42.29255269000001
2013686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0216605559999,-448.78817855599993,0.233482
2014555,5.0037261,0.0,0.0,10.7453257,0.27005757,2.1317532999999997,0.0,0.0,0.0,0.0,0.0,32.351416210000004,59.06333691000002
2015181,6.3353288,0.0,0.0,13.565193919999999,0.15459378000000001,2.1745567,14.3271261,0.0,0.0,1.921338522216,1.6577957669999999,25.46830113078397,84.60967560999995
2017513,12.321494999999999,0.0,0.0,45.492528,1.5454981600000002,9.0940852,0.0,0.0,0.0,36.6459343926,3.87417239,506.8043897074001,615.77810285
2017594,7.0844343,0.0,0.0,41.212768319999995,0.0,6.8347942999999995,40.420049999999996,0.0,0.0,9.443989115148,31.527151462,-114.84413018084797,24.06939506630006
2019881,2.91621155,0.0,0.0,4.72728439,0.0,2.6520074,0.0,0.0,0.0,45.739047176776,0.0,-72.294611616776,2.5320308999999965
2019913,1.4310064,0.0,0.0,10.1861197,0.3126315,4.496974,0.0,0.0,0.0,0.0,2342.533652606,-2280.359434876,78.60094933
2023435,4.3062695,0.0,0.0,15.46056214,0.9342788399999999,2.304192,0.0,0.0,0.0,0.0,0.0,-2.000786007500003,21.004516472499997
2024700,0.9302081999999999,0.0,0.0,20.90138679,0.0,1.8915832,12.4752672,0.0,0.0,1.771867062,1.21025607,81.72742190799995,120.90799042999996
2027269,7.2561981,0.0,0.0,14.74812537,0.0,4.4819685,0.0,0.0,0.0,0.0,15.969104528999997,-4.967248426999994,42.154098072
2033663,3.67822305,0.0,0.0,3.91266769,0.0,5.7399742,0.0,0.0,0.0,0.0,21.241783638999994,-35.19959181499999,1.6232667640000003
2034478,10.797751,0.0,0.0,30.631948849999997,0.0,0.7317524,0.0,0.0,0.0,11.5084217892,2.8044712159999996,81.79906450479994,138.27340975999996
2041949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9281485410000005,-5.9281485410000005,0.0
2043788,8.22494535,0.0,0.0,4.69258369,0.26452338000000003,6.1000527,0.0,0.0,0.0,5.930157906000001,1.0940760360000001,154.308008308,185.31839737000004
2045105,11.887104149999999,0.0,0.0,16.590934,0.26043597,8.2631726,0.0,0.0,0.0,0.0,2.900938,-71.26302575,-28.939781029999995
2048263,2.67023225,0.0,0.0,6.94106574,0.6498635,1.3261066000000001,0.0,0.0,0.0,0.0,0.0,-58.812221719999975,-47.22495362999997
